Date,Average Price,Open Price,High Price,Low Price,Last close Price,Last Price,Last Price (adjusted),AdjustmentFactor,Price Change(%),Best bid,Best ask,Trades,Volume,Turnover,CCY
10.01.2014,0.904,0.903,0.907,0.903,0.905,0.903,0.903,1.0000000000,-0.22%,0.903,0.906,30,92081,83247.32,EUR
13.01.2014,0.903,0.903,0.906,0.900,0.903,0.905,0.905,1.0000000000,0.22%,0.904,0.905,56,219412,198044.32,EUR
14.01.2014,0.901,0.905,0.905,0.900,0.905,0.901,0.901,1.0000000000,-0.44%,0.901,0.904,24,1200583,1081740.61,EUR
15.01.2014,0.905,0.905,0.905,0.903,0.901,0.905,0.905,1.0000000000,0.44%,0.903,0.905,15,29076,26305.93,EUR
16.01.2014,0.901,0.905,0.905,0.900,0.905,0.900,0.900,1.0000000000,-0.55%,0.898,0.900,34,92124,83022.98,EUR
17.01.2014,0.903,0.903,0.903,0.902,0.900,0.902,0.902,1.0000000000,0.22%,0.902,0.904,5,9368,8456.75,EUR
20.01.2014,0.900,0.900,0.900,0.898,0.902,0.900,0.900,1.0000000000,-0.22%,0.900,0.903,9,8921,8026.87,EUR
21.01.2014,0.905,0.897,0.905,0.897,0.900,0.905,0.905,1.0000000000,0.56%,0.904,0.905,26,337044,304982.68,EUR
22.01.2014,0.907,0.908,0.908,0.906,0.905,0.908,0.908,1.0000000000,0.33%,0.906,0.908,16,42435,38482.60,EUR
23.01.2014,0.910,0.910,0.910,0.908,0.908,0.910,0.910,1.0000000000,0.22%,0.909,0.913,23,106164,96568.78,EUR
24.01.2014,0.909,0.909,0.910,0.903,0.910,0.905,0.905,1.0000000000,-0.55%,0.903,0.905,33,169265,153789.80,EUR
27.01.2014,0.902,0.900,0.905,0.898,0.905,0.905,0.905,1.0000000000,0.00%,0.898,0.905,19,43638,39367.16,EUR
